"MARYLAND",570
"NORTH CAROLINA",500
"GEORGIA",480
"VIRGINIA",470
"TEXAS",470
"FLORIDA",430
"ALABAMA",270
"SOUTH CAROLINA",260
"LOUISIANA",230
