"MARYLAND",57
"NORTH CAROLINA",50
"GEORGIA",48
"VIRGINIA",47
"TEXAS",47
"FLORIDA",43
"ALABAMA",27
"SOUTH CAROLINA",26
"LOUISIANA",23
